lgd_state_code,lgd_district_code,lgd_block_code,state,district,block,aspirational,tribal,urban,lgd_code_official,official_source
27,512,4380,Maharashtra,Osmanabad,Osmanabad,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
10,216,1255,Bihar,Gaya,Gaya Town,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
10,216,1256,Bihar,Gaya,Bodh Gaya,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
10,205,1140,Bihar,Muzaffarpur,Muzaffarpur,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
10,201,1092,Bihar,Sitamarhi,Sitamarhi,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
10,209,1184,Bihar,Purnia,Purnia East,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
10,211,1205,Bihar,Katihar,Katihar,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
10,213,1227,Bihar,Patna,Patna Sadar,False,False,True,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
10,213,1228,Bihar,Patna,Danapur,False,False,True,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
09,153,882,Uttar Pradesh,Bahraich,Bahraich,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
09,155,898,Uttar Pradesh,Balrampur,Balrampur,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
09,154,890,Uttar Pradesh,Shravasti,Bhinga,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
09,157,912,Uttar Pradesh,Siddharthnagar,Naugarh,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
09,181,1032,Uttar Pradesh,Sonbhadra,Robertsganj,True,True,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
09,147,840,Uttar Pradesh,Lucknow,Lucknow,False,False,True,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
09,147,844,Uttar Pradesh,Lucknow,Mohanlalganj,False,False,True,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
19,317,2315,West Bengal,Murshidabad,Berhampore,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
19,316,2305,West Bengal,Maldah,Old Malda,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
19,322,2370,West Bengal,Purulia,Purulia II,True,True,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
19,314,2288,West Bengal,Uttar Dinajpur,Raiganj,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
19,318,2325,West Bengal,Birbhum,Suri I,False,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
19,319,2345,West Bengal,Kolkata,Borough V,False,False,True,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
19,319,2347,West Bengal,Kolkata,Borough VII,False,False,True,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
33,574,5382,Tamil Nadu,Cuddalore,Cuddalore,False,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
33,588,5542,Tamil Nadu,Perambalur,Perambalur,False,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
33,627,5970,Tamil Nadu,Ariyalur,Ariyalur,False,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
33,585,5510,Tamil Nadu,Namakkal,Namakkal,False,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
33,593,5600,Tamil Nadu,Ramanathapuram,Ramanathapuram,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
33,572,5360,Tamil Nadu,Chennai,Alandur,False,False,True,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
33,572,5362,Tamil Nadu,Chennai,Madhavaram,False,False,True,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
